,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
11712,2012,Diciembre,Venezuela,8,31,,39,-75.527794,10.406342
11713,2012,Diciembre,Venezuela,138,155,,293,-75.516486,10.446304
11714,2012,Diciembre,Venezuela,74,106,,180,-74.77647900000001,10.886686
11715,2012,Diciembre,Venezuela,3349,4331,,7680,-72.129595,11.360028999999999
11716,2012,Diciembre,Venezuela,2,3,,5,-72.919186,11.52863
11717,2012,Diciembre,Venezuela,10,9,,19,-81.70216500000001,12.5862
11718,2012,Diciembre,Venezuela,91,104,,195,-76.532004,3.451668
11719,2012,Diciembre,Venezuela,3,3,,6,-75.76635300000001,4.45285
11720,2012,Diciembre,Venezuela,6518,6896,,13414,-74.140516,4.697157
11721,2012,Diciembre,Venezuela,6,18,,24,-75.736374,4.815189
11722,2012,Diciembre,Venezuela,630,616,,1246,-75.42726,6.170465
11723,2012,Diciembre,Venezuela,174,236,,410,-67.48402800000001,6.185536
11724,2012,Diciembre,Venezuela,115,174,,289,-70.74025300000001,7.088728999999999
11725,2012,Diciembre,Venezuela,11,12,,23,-73.181317,7.1280470000000005
11726,2012,Diciembre,Venezuela,2675,3224,,5899,-72.453013,7.819
11727,2012,Diciembre,Venezuela,648,666,,1314,-72.508188,7.927233
12724,2013,Enero,Venezuela,218,230,,448,-77.35600000000001,0.81488
12725,2013,Enero,Venezuela,6,6,,12,-75.527794,10.406342
12726,2013,Enero,Venezuela,110,161,,271,-75.516486,10.446304
12727,2013,Enero,Venezuela,59,90,,149,-74.77647900000001,10.886686
12728,2013,Enero,Venezuela,1209,1878,,3087,-72.129595,11.360028999999999
12729,2013,Enero,Venezuela,1,1,,2,-72.919186,11.52863
12730,2013,Enero,Venezuela,8,2,,10,-81.70216500000001,12.5862
12731,2013,Enero,Venezuela,86,111,,197,-76.532004,3.451668
12732,2013,Enero,Venezuela,1,1,,2,-75.76635300000001,4.45285
12733,2013,Enero,Venezuela,5877,6570,,12447,-74.140516,4.697157
12734,2013,Enero,Venezuela,3,19,,22,-75.736374,4.815189
12735,2013,Enero,Venezuela,358,415,,773,-75.42726,6.170465
12736,2013,Enero,Venezuela,134,204,,338,-67.48402800000001,6.185536
12737,2013,Enero,Venezuela,57,104,,161,-70.74025300000001,7.088728999999999
12738,2013,Enero,Venezuela,4,3,,7,-73.181317,7.1280470000000005
12739,2013,Enero,Venezuela,1408,1586,,2994,-72.453013,7.819
12740,2013,Enero,Venezuela,238,262,,500,-72.508188,7.927233
12741,2013,Enero,Venezuela,1,2,,3,-77.35002,8.63337
13675,2013,Febrero,Venezuela,86,94,,180,-77.35600000000001,0.81488
13676,2013,Febrero,Venezuela,6,5,,11,-75.527794,10.406342
13677,2013,Febrero,Venezuela,97,175,,272,-75.516486,10.446304
13678,2013,Febrero,Venezuela,128,148,,276,-74.77647900000001,10.886686
13679,2013,Febrero,Venezuela,1,0,,1,-74.213989,11.247722999999999
13680,2013,Febrero,Venezuela,1714,2157,,3871,-72.129595,11.360028999999999
13681,2013,Febrero,Venezuela,1,3,,4,-72.919186,11.52863
13682,2013,Febrero,Venezuela,18,10,,28,-81.70216500000001,12.5862
13683,2013,Febrero,Venezuela,58,74,,132,-76.532004,3.451668
13684,2013,Febrero,Venezuela,1,3,,4,-75.76635300000001,4.45285
13685,2013,Febrero,Venezuela,6493,7160,,13653,-74.140516,4.697157
13686,2013,Febrero,Venezuela,6,25,,31,-75.736374,4.815189
13687,2013,Febrero,Venezuela,417,477,,894,-75.42726,6.170465
13688,2013,Febrero,Venezuela,214,333,,547,-67.48402800000001,6.185536
13689,2013,Febrero,Venezuela,45,72,,117,-70.74025300000001,7.088728999999999
13690,2013,Febrero,Venezuela,15,10,,25,-73.181317,7.1280470000000005
13691,2013,Febrero,Venezuela,1629,1570,,3199,-72.453013,7.819
13692,2013,Febrero,Venezuela,353,330,,683,-72.508188,7.927233
14655,2013,Marzo,Venezuela,0,2,,2,-69.941498,4.191162
14656,2013,Marzo,Venezuela,68,95,,163,-77.35600000000001,0.81488
14657,2013,Marzo,Venezuela,4,10,,14,-75.527794,10.406342
14658,2013,Marzo,Venezuela,104,139,,243,-75.516486,10.446304
14659,2013,Marzo,Venezuela,39,63,,102,-74.77647900000001,10.886686
14660,2013,Marzo,Venezuela,1443,1824,,3267,-72.129595,11.360028999999999
14661,2013,Marzo,Venezuela,2,1,,3,-72.919186,11.52863
14662,2013,Marzo,Venezuela,2,2,,4,-81.70216500000001,12.5862
14663,2013,Marzo,Venezuela,44,74,,118,-76.532004,3.451668
14664,2013,Marzo,Venezuela,0,2,,2,-75.76635300000001,4.45285
14665,2013,Marzo,Venezuela,5349,6141,,11490,-74.140516,4.697157
14666,2013,Marzo,Venezuela,6,11,,17,-75.736374,4.815189
14667,2013,Marzo,Venezuela,348,378,,726,-75.42726,6.170465
14668,2013,Marzo,Venezuela,151,260,,411,-67.48402800000001,6.185536
14669,2013,Marzo,Venezuela,66,117,,183,-70.74025300000001,7.088728999999999
14670,2013,Marzo,Venezuela,3,4,,7,-73.181317,7.1280470000000005
14671,2013,Marzo,Venezuela,1257,1516,,2773,-72.453013,7.819
14672,2013,Marzo,Venezuela,195,208,,403,-72.508188,7.927233
15613,2013,Abril,Venezuela,1,3,,4,-76.876446,0.33002
15614,2013,Abril,Venezuela,41,71,,112,-77.35600000000001,0.81488
15615,2013,Abril,Venezuela,2,3,,5,-75.527794,10.406342
15616,2013,Abril,Venezuela,5,24,,29,-73.247863,10.433608999999999
15617,2013,Abril,Venezuela,84,112,,196,-75.516486,10.446304
15618,2013,Abril,Venezuela,33,57,,90,-74.77647900000001,10.886686
15619,2013,Abril,Venezuela,947,1321,,2268,-72.129595,11.360028999999999
15620,2013,Abril,Venezuela,2,2,,4,-72.919186,11.52863
15621,2013,Abril,Venezuela,8,7,,15,-81.70216500000001,12.5862
15622,2013,Abril,Venezuela,52,79,,131,-76.532004,3.451668
15623,2013,Abril,Venezuela,4657,6221,,10878,-74.140516,4.697157
15624,2013,Abril,Venezuela,3,19,,22,-75.736374,4.815189
15625,2013,Abril,Venezuela,237,342,,579,-75.42726,6.170465
15626,2013,Abril,Venezuela,120,225,,345,-67.48402800000001,6.185536
15627,2013,Abril,Venezuela,27,60,,87,-70.74025300000001,7.088728999999999
15628,2013,Abril,Venezuela,5,5,,10,-73.181317,7.1280470000000005
15629,2013,Abril,Venezuela,788,1014,,1802,-72.453013,7.819
15630,2013,Abril,Venezuela,119,132,,251,-72.508188,7.927233
15631,2013,Abril,Venezuela,0,1,,1,-77.35002,8.63337
16551,2013,Mayo,Venezuela,1,1,,2,-69.941498,4.191162
16552,2013,Mayo,Venezuela,0,1,,1,-76.876446,0.33002
16553,2013,Mayo,Venezuela,40,57,,97,-77.35600000000001,0.81488
16554,2013,Mayo,Venezuela,0,1,,1,-75.527794,10.406342
16555,2013,Mayo,Venezuela,117,178,,295,-75.516486,10.446304
16556,2013,Mayo,Venezuela,42,82,,124,-74.77647900000001,10.886686
16557,2013,Mayo,Venezuela,0,1,,1,-74.765343,10.970933
16558,2013,Mayo,Venezuela,0,1,,1,-74.213989,11.247722999999999
16559,2013,Mayo,Venezuela,909,1365,,2274,-72.129595,11.360028999999999
16560,2013,Mayo,Venezuela,1,1,,2,-72.919186,11.52863
16561,2013,Mayo,Venezuela,4,4,,8,-81.70216500000001,12.5862
16562,2013,Mayo,Venezuela,46,102,,148,-76.532004,3.451668
16563,2013,Mayo,Venezuela,1,0,,1,-75.76635300000001,4.45285
16564,2013,Mayo,Venezuela,4629,6187,,10816,-74.140516,4.697157
16565,2013,Mayo,Venezuela,2,11,,13,-75.736374,4.815189
16566,2013,Mayo,Venezuela,267,440,,707,-75.42726,6.170465
16567,2013,Mayo,Venezuela,78,176,,254,-67.48402800000001,6.185536
16568,2013,Mayo,Venezuela,52,67,,119,-70.74025300000001,7.088728999999999
16569,2013,Mayo,Venezuela,4,3,,7,-73.181317,7.1280470000000005
16570,2013,Mayo,Venezuela,905,1117,,2022,-72.453013,7.819
16571,2013,Mayo,Venezuela,100,151,,251,-72.508188,7.927233
17541,2013,Junio,Venezuela,0,2,,2,-69.941498,4.191162
17542,2013,Junio,Venezuela,0,1,,1,-76.876446,0.33002
17543,2013,Junio,Venezuela,44,57,,101,-77.35600000000001,0.81488
17544,2013,Junio,Venezuela,4,41,,45,-75.527794,10.406342
17545,2013,Junio,Venezuela,75,116,,191,-75.516486,10.446304
17546,2013,Junio,Venezuela,31,76,,107,-74.77647900000001,10.886686
17547,2013,Junio,Venezuela,0,1,,1,-74.213989,11.247722999999999
17548,2013,Junio,Venezuela,994,1553,,2547,-72.129595,11.360028999999999
17549,2013,Junio,Venezuela,0,1,,1,-72.919186,11.52863
17550,2013,Junio,Venezuela,7,7,,14,-81.70216500000001,12.5862
17551,2013,Junio,Venezuela,84,95,,179,-76.532004,3.451668
17552,2013,Junio,Venezuela,4884,6240,,11124,-74.140516,4.697157
17553,2013,Junio,Venezuela,1,7,,8,-75.736374,4.815189
17554,2013,Junio,Venezuela,332,457,,789,-75.42726,6.170465
17555,2013,Junio,Venezuela,132,198,,330,-67.48402800000001,6.185536
17556,2013,Junio,Venezuela,76,149,,225,-70.74025300000001,7.088728999999999
17557,2013,Junio,Venezuela,5,0,,5,-73.181317,7.1280470000000005
17558,2013,Junio,Venezuela,991,1247,,2238,-72.453013,7.819
17559,2013,Junio,Venezuela,116,131,,247,-72.508188,7.927233
18566,2013,Julio,Venezuela,0,1,,1,-76.876446,0.33002
18567,2013,Julio,Venezuela,69,115,,184,-77.35600000000001,0.81488
18568,2013,Julio,Venezuela,6,9,,15,-75.527794,10.406342
18569,2013,Julio,Venezuela,88,168,,256,-75.516486,10.446304
18570,2013,Julio,Venezuela,45,128,,173,-74.77647900000001,10.886686
18571,2013,Julio,Venezuela,0,2,,2,-74.213989,11.247722999999999
18572,2013,Julio,Venezuela,1367,1949,,3316,-72.129595,11.360028999999999
18573,2013,Julio,Venezuela,1,0,,1,-72.919186,11.52863
18574,2013,Julio,Venezuela,7,6,,13,-81.70216500000001,12.5862
18575,2013,Julio,Venezuela,88,177,,265,-76.532004,3.451668
18576,2013,Julio,Venezuela,5972,6774,,12746,-74.140516,4.697157
18577,2013,Julio,Venezuela,4,11,,15,-75.736374,4.815189
18578,2013,Julio,Venezuela,476,614,,1090,-75.42726,6.170465
18579,2013,Julio,Venezuela,151,259,,410,-67.48402800000001,6.185536
18580,2013,Julio,Venezuela,31,53,,84,-70.74025300000001,7.088728999999999
18581,2013,Julio,Venezuela,7,9,,16,-73.181317,7.1280470000000005
18582,2013,Julio,Venezuela,1625,1944,,3569,-72.453013,7.819
18583,2013,Julio,Venezuela,195,278,,473,-72.508188,7.927233
18584,2013,Julio,Venezuela,0,2,,2,-77.35002,8.63337
19550,2013,Agosto,Venezuela,0,1,,1,-69.941498,4.191162
19551,2013,Agosto,Venezuela,2,0,,2,-76.876446,0.33002
19552,2013,Agosto,Venezuela,44,77,,121,-77.35600000000001,0.81488
19553,2013,Agosto,Venezuela,21,30,,51,-75.527794,10.406342
19554,2013,Agosto,Venezuela,79,113,,192,-75.516486,10.446304
19555,2013,Agosto,Venezuela,38,109,,147,-74.77647900000001,10.886686
